CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.01138+(-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.01138+(-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.10830574482679367)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.040820185095071793)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.034928709268569946)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.035005200654268265)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.039565939456224442)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.045293502509593964)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.062479935586452484)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.084209896624088287)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.25409793853759766)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.01138+((-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18))))))))-0.043322298675775528)" 
