CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.095590986311435699)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.032444305717945099)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.030077548697590828)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.029797561466693878)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.03403874859213829)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.03617149218916893)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.058318506926298141)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.087000265717506409)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.11618135869503021)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.03823639452457428)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.012977722100913525)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.012031019665300846)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.011919024400413036)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.013615499250590801)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.014468597248196602)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.023327402770519257)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.034800104796886444)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.03115+((-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18)))))))-0.046472541987895966)" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.095590986311435699" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.032444305717945099" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.030077548697590828" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.029797561466693878" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.03403874859213829" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.03617149218916893" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.058318506926298141" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.087000265717506409" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.11618135869503021" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.03823639452457428" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.012977722100913525" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.012031019665300846" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.011919024400413036" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.013615499250590801" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.014468597248196602" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.023327402770519257" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.034800104796886444" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.03115+(-(0.00163476*(log(x+19)*(log(x+18)*(3-(0.212531*log(x+18))))))))+0.046472541987895966" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.10064439475536346)" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.035533130168914795)" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.053826846182346344)" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.041271127760410309)" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.047349352389574051)" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.083320654928684235)" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.10842384397983551)" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.10284794867038727)" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.1198480948805809)" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.040257759392261505)" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.014213252812623978)" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.021530738100409508)" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.016508450731635094)" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.01893974095582962)" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.033328261226415634)" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.043369539082050323)" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.041139177978038788)" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.12219+((-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18)))))))-0.047939237207174301)" 
0, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.10064439475536346" 
0, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.035533130168914795" 
0, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.053826846182346344" 
0, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.041271127760410309" 
0, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.047349352389574051" 
0, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.083320654928684235" 
0, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.10842384397983551" 
0, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.10284794867038727" 
0, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.1198480948805809" 
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.040257759392261505" 
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.014213252812623978" 
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.021530738100409508" 
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.016508450731635094" 
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.01893974095582962" 
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.033328261226415634" 
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.043369539082050323" 
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.041139177978038788" 
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.12219+(-(0.00536103*(log(x+19)*(log(x+18)*(3-(0.327334*log(x+18))))))))+0.047939237207174301" 
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x)))" 
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x)))" 
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.12787935137748718" 
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.043293189257383347" 
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.04656602069735527" 
1, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.039188649505376816" 
1, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.048309233039617538" 
1, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.053674697875976562" 
1, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.10027827322483063" 
1, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.13282056152820587" 
1, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.14106357097625732" 
1, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.042626451700925827" 
1, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.014431063085794449" 
1, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.015522006899118423" 
1, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.013062883168458939" 
1, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.016103077679872513" 
1, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.017891565337777138" 
1, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.033426091074943542" 
1, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.04427352175116539" 
1, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))-0.047021191567182541" 
1, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))+0.12787935137748718" 
1, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))+0.043293189257383347" 
1, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))+0.04656602069735527" 
1, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))+0.039188649505376816" 
1, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))+0.048309233039617538" 
1, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))+0.053674697875976562" 
1, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))+0.10027827322483063" 
1, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))+0.13282056152820587" 
1, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.969765*((1.+(0.0117067*x))/(1.+(0.0127058*x))))+0.14106357097625732" 
