CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x)))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x)))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.099943690001964569" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.042103007435798645" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.040798254311084747" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.034444481134414673" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.037260565906763077" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.038453076034784317" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.055840466171503067" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.075034074485301971" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.14169465005397797" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.039977476000785828" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.016841202974319458" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.016319300979375839" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.013777792453765869" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.014904226176440716" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.015381230972707272" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.022336186841130257" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.030013630166649818" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))-0.056677859276533127" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))+0.099943690001964569" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.977796*((1.+(0.00531964*x))/(1.+(0.00584439*x))))+0.042103007435798645" 
