DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x)))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x)))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.10377101600170135" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.039134599268436432" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.035308219492435455" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.034779436886310577" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.038571342825889587" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.042395681142807007" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.06054915115237236" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.079125203192234039" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.24850314855575562" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.041508406400680542" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.015653839334845543" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.014123287983238697" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.013911774381995201" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.01542853657156229" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.016958272084593773" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.024219660088419914" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.031650081276893616" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))-0.099401257932186127" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.10377101600170135" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.039134599268436432" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.035308219492435455" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.034779436886310577" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.038571342825889587" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.042395681142807007" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.06054915115237236" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.079125203192234039" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.24850314855575562" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.041508406400680542" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.015653839334845543" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.014123287983238697" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.013911774381995201" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.01542853657156229" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.973618*((1.+(0.000179095*x))/(1.+(0.000430416*x))))+0.016958272084593773" 
