DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.0937+(-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.0937+(-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.0937+((-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))-0.083424009382724762)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.0937+((-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))-0.033020790666341782)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.0937+((-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))-0.030312191694974899)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.0937+((-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))-0.031386997550725937)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.0937+((-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))-0.035976812243461609)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.0937+((-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))-0.036682792007923126)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.0937+((-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))-0.051732566207647324)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.0937+((-(0.00369883*(log(x+19)*(log(x+18)*(3-(0.279647*log(x+18)))))))-0.067324429750442505)" 
