DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.1378+(-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.1378+(-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.09563031792640686)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.043600641191005707)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.039512556046247482)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.035411573946475983)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.038908898830413818)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.043282337486743927)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.048269517719745636)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.093387320637702942)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.14495719969272614)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.038252126425504684)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.1378+((-(0.00599383*(log(x+19)*(log(x+18)*(3-(0.326135*log(x+18)))))))-0.017440255731344223)" 
