DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,0.904358506203
0,lt,up,0,0,2.4,20.0,30.0,0,1,0.997027316345
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.811777630631
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.928733590221
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.894870638847
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.905833542347
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.902535319328
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.929905891418
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.870605647564
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.904358446598
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.904358446598
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.904358446598
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.904039978981
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.904391229153
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.904358446598
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.936973923826
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.871743088579
0,lt,up_add,0,0,2.4,20.0,30.0,0,1,0.983950244621
0,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.824766767784
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.916294398041
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.892422614365
0,lt,central,0,0,2.4,30.0,50.0,0,1,0.931730628014
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.00605122626
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.856788235989
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.943227696265
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.918217971993
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.934436440468
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.928480327129
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.942470550537
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.919109404087
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.931729972363
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.931729972363
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.931729972363
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.933920025826
0,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.931679904461
0,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.931729972363
0,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.943020914657
0,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.92044034137
0,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.00588817673
0,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.857573079301
0,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.936384259809
0,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.927076996219
0,lt,central,0,0,2.4,50.0,70.0,0,1,0.976012766361
0,lt,up,0,0,2.4,50.0,70.0,0,1,0.999554681649
0,lt,down,0,0,2.4,50.0,70.0,0,1,0.924021894828
0,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.979568421841
0,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.929124472869
0,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.983241260052
0,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.9675360322
0,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.990373134613
0,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.963782727718
0,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.976012766361
0,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.976012766361
0,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.976012766361
0,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.976147592068
0,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.975870728493
0,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.976012766361
0,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.979886024431
0,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.972139508291
0,lt,up_add,0,0,2.4,50.0,70.0,0,1,0.987593512614
0,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.964432020108
0,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.986984376778
0,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.965041155944
0,lt,central,0,0,2.4,70.0,100.0,0,1,0.972356438637
0,lt,up,0,0,2.4,70.0,100.0,0,1,1.00025499444
0,lt,down,0,0,2.4,70.0,100.0,0,1,0.943778562453
0,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.976378619671
0,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.968231526207
0,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.982063412666
0,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.960203289986
0,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.981344103813
0,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.964315533638
0,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.972356617451
0,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.972356617451
0,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.972356617451
0,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.971940994263
0,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.972290635109
0,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.972356617451
0,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.974708138267
0,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.970004739006
0,lt,up_add,0,0,2.4,70.0,100.0,0,1,0.993258449263
0,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.951454428011
0,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.982068852761
0,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.962644024512
0,lt,central,0,0,2.4,100.0,140.0,0,1,0.990568637848
0,lt,up,0,0,2.4,100.0,140.0,0,1,1.01428257967
0,lt,down,0,0,2.4,100.0,140.0,0,1,0.964407740249
0,lt,up_jes,0,0,2.4,100.0,140.0,0,1,0.991942644119
0,lt,down_jes,0,0,2.4,100.0,140.0,0,1,0.986881957597
0,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.00476026535
0,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.972349047661
0,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.996621727943
0,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.987022817135
0,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.990568459034
0,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.990568459034
0,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,0.990568459034
0,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,0.988612115383
0,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,0.990408301353
0,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,0.990568459034
0,lt,up_cb,0,0,2.4,100.0,140.0,0,1,0.993087532896
0,lt,down_cb,0,0,2.4,100.0,140.0,0,1,0.988049742799
0,lt,up_add,0,0,2.4,100.0,140.0,0,1,1.0063609862
0,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.974776289497
0,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,0.998944413534
0,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,0.982192862162
0,lt,central,0,0,2.4,140.0,200.0,0,1,0.995629310608
0,lt,up,0,0,2.4,140.0,200.0,0,1,1.02397964923
0,lt,down,0,0,2.4,140.0,200.0,0,1,0.963289785798
0,lt,up_jes,0,0,2.4,140.0,200.0,0,1,0.996484088564
0,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.992744744393
0,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.01278245449
0,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.972673237324
0,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.999193906784
0,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.994156360626
0,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.995629072189
0,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.995629072189
0,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,0.995629072189
0,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.992124676704
0,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,0.995501101017
0,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,0.995629072189
0,lt,up_cb,0,0,2.4,140.0,200.0,0,1,0.997631113223
0,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.993627507993
0,lt,up_add,0,0,2.4,140.0,200.0,0,1,1.01318030943
0,lt,down_add,0,0,2.4,140.0,200.0,0,1,0.978078311789
0,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,1.0054715728
0,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.985787048416
0,lt,central,0,0,2.4,200.0,300.0,0,1,1.00665450096
0,lt,up,0,0,2.4,200.0,300.0,0,1,1.0341568417
0,lt,down,0,0,2.4,200.0,300.0,0,1,0.971989756138
0,lt,up_jes,0,0,2.4,200.0,300.0,0,1,1.00803189716
0,lt,down_jes,0,0,2.4,200.0,300.0,0,1,1.00407689376
0,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.02872645855
0,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.976306498051
0,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.00142538548
0,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.01257240772
0,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.00665450096
0,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.00665450096
0,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,1.00665450096
0,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,1.00286889076
0,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,1.00646448135
0,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,1.00665450096
0,lt,up_cb,0,0,2.4,200.0,300.0,0,1,1.00765597054
0,lt,down_cb,0,0,2.4,200.0,300.0,0,1,1.00565303138
0,lt,up_add,0,0,2.4,200.0,300.0,0,1,1.02065722185
0,lt,down_add,0,0,2.4,200.0,300.0,0,1,0.992651780077
0,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,1.01365211049
0,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,0.999656891429
0,lt,central,0,0,2.4,300.0,670.0,0,1,1.00215911865
0,lt,up,0,0,2.4,300.0,670.0,0,1,1.042481051
0,lt,down,0,0,2.4,300.0,670.0,0,1,0.95121346945
0,lt,up_jes,0,0,2.4,300.0,670.0,0,1,1.00308203697
0,lt,down_jes,0,0,2.4,300.0,670.0,0,1,0.999249099144
0,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.02834320068
0,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.964510679245
0,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,0.978981018066
0,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.0200817585
0,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.00215911865
0,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.00215911865
0,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,1.00215911865
0,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,0.998397946358
0,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,1.00196957588
0,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,1.00215911865
0,lt,up_cb,0,0,2.4,300.0,670.0,0,1,1.00291764775
0,lt,down_cb,0,0,2.4,300.0,670.0,0,1,1.00140058956
0,lt,up_add,0,0,2.4,300.0,670.0,0,1,1.02310302539
0,lt,down_add,0,0,2.4,300.0,670.0,0,1,0.981215211913
0,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,1.01213858241
0,lt,down_statistic,0,0,2.4,300.0,670.0,0,1,0.992179654899
0,lt,central,0,0,2.4,670.0,1000.0,0,1,0.982997775078
0,lt,up,0,0,2.4,670.0,1000.0,0,1,1.02994189793
0,lt,down,0,0,2.4,670.0,1000.0,0,1,0.925806131528
0,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,0.982997775078
0,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,0.974375285156
0,lt,up_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,1.0084053278
0,lt,down_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,0.944161474705
0,lt,up_bfragmentation,0,0,2.4,670.0,1000.0,0,1,0.951946556568
0,lt,down_bfragmentation,0,0,2.4,670.0,1000.0,0,1,1.01249420643
0,lt,up_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.982997834682
0,lt,down_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.982997834682
0,lt,up_dmux,0,0,2.4,670.0,1000.0,0,1,0.982997834682
0,lt,down_dmux,0,0,2.4,670.0,1000.0,0,1,0.97700381279
0,lt,up_ksl,0,0,2.4,670.0,1000.0,0,1,0.982924938202
0,lt,down_ksl,0,0,2.4,670.0,1000.0,0,1,0.982997834682
0,lt,up_cb,0,0,2.4,670.0,1000.0,0,1,0.983255755876
0,lt,down_cb,0,0,2.4,670.0,1000.0,0,1,0.98273979428
0,lt,up_add,0,0,2.4,670.0,1000.0,0,1,0.98835535965
0,lt,down_add,0,0,2.4,670.0,1000.0,0,1,0.977640190506
0,lt,up_statistic,0,0,2.4,670.0,1000.0,0,1,1.00717109567
0,lt,down_statistic,0,0,2.4,670.0,1000.0,0,1,0.958824454483
