DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,0.844453036785
1,lt,up,0,0,2.4,20.0,30.0,0,1,0.950074123713
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.738787834168
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.866793660021
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.835917413235
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.845673024654
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.842937111855
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.867969453335
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.813027560711
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.844453036785
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.844453036785
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.844453036785
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.843983054161
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.844493329525
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.844453036785
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.881635648507
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.807270425064
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,0.934899624038
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.754006449532
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.859128339718
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.829777733852
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.962384104729
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.01489323077
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.908904970688
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.973120399141
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.949750439711
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.96467256546
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.959581673145
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.973873436451
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.948567152023
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.962384641171
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.962384641171
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.962384641171
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.9641315341
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.962345540524
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.962384641171
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.976625048893
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.948143160564
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.01200389388
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.912764315576
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.969618085118
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.955150124339
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.970495402813
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.01416971067
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.907851820045
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.97346830368
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.925099688362
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.976543903351
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.963375627995
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.984297037125
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.958612918854
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.970494747162
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.970494747162
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.970494747162
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.970405995846
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.970363497734
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.970494747162
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.976138542168
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.964852263458
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.00945809422
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.931532711407
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.982563359648
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.958427445978
1,lt,central,0,0,2.4,70.0,100.0,0,1,0.982996821404
1,lt,up,0,0,2.4,70.0,100.0,0,1,1.01672782867
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.948801382753
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.986875653267
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.978762626266
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.991726636887
1,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.97199767828
1,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.992179870605
1,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.974760591984
1,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.982996821404
1,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.982996821404
1,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.982996821404
1,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.982378780842
1,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.982937037945
1,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.982996821404
1,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.987417570159
1,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.978576072648
1,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.01041830244
1,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.95557534037
1,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.995739823992
1,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.970253818815
1,lt,central,0,0,2.4,100.0,140.0,0,1,1.00112581253
1,lt,up,0,0,2.4,100.0,140.0,0,1,1.03096429429
1,lt,down,0,0,2.4,100.0,140.0,0,1,0.969573534215
1,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.00183045864
1,lt,down_jes,0,0,2.4,100.0,140.0,0,1,0.996915888626
1,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.01407492161
1,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.984365224838
1,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.007350564
1,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.997913897038
1,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.00112569332
1,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.00112569332
1,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.00112569332
1,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,0.999350190163
1,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.00096845627
1,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.00112569332
1,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.00566306443
1,lt,down_cb,0,0,2.4,100.0,140.0,0,1,0.996588560629
1,lt,up_add,0,0,2.4,100.0,140.0,0,1,1.02144176204
1,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.980809863022
1,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.01548581102
1,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,0.986765814039
1,lt,central,0,0,2.4,140.0,200.0,0,1,1.00568687916
1,lt,up,0,0,2.4,140.0,200.0,0,1,1.03250020114
1,lt,down,0,0,2.4,140.0,200.0,0,1,0.974684472205
1,lt,up_jes,0,0,2.4,140.0,200.0,0,1,1.00696880802
1,lt,down_jes,0,0,2.4,140.0,200.0,0,1,1.0023770272
1,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.02232265472
1,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.983324408531
1,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.00741386414
1,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.00496387482
1,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.0056874752
1,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.0056874752
1,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,1.0056874752
1,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,1.00222373009
1,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,1.00555086136
1,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,1.0056874752
1,lt,up_cb,0,0,2.4,140.0,200.0,0,1,1.01016237964
1,lt,down_cb,0,0,2.4,140.0,200.0,0,1,1.00121137868
1,lt,up_add,0,0,2.4,140.0,200.0,0,1,1.02039564468
1,lt,down_add,0,0,2.4,140.0,200.0,0,1,0.990978113636
1,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,1.01918087875
1,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.992192879562
1,lt,central,0,0,2.4,200.0,300.0,0,1,1.00959670544
1,lt,up,0,0,2.4,200.0,300.0,0,1,1.04691950562
1,lt,down,0,0,2.4,200.0,300.0,0,1,0.966123087577
1,lt,up_jes,0,0,2.4,200.0,300.0,0,1,1.01109792879
1,lt,down_jes,0,0,2.4,200.0,300.0,0,1,1.00595045473
1,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.030397892
1,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.980419099331
1,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.997022211552
1,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.02022123337
1,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.00959670544
1,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.00959670544
1,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,1.00959670544
1,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,1.00490319729
1,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,1.00948309898
1,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,1.00959670544
1,lt,up_cb,0,0,2.4,200.0,300.0,0,1,1.01277407196
1,lt,down_cb,0,0,2.4,200.0,300.0,0,1,1.00641933892
1,lt,up_add,0,0,2.4,200.0,300.0,0,1,1.0309374047
1,lt,down_add,0,0,2.4,200.0,300.0,0,1,0.988256006173
1,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,1.02152786334
1,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,0.997665547529
