DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,0.853793025017
1,lt,up,0,0,2.4,20.0,30.0,0,1,0.957893516346
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.749594566636
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.875003001286
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.846141517162
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.854965627193
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.852320075035
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.876661658287
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.823239326477
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.853793025017
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.853793025017
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.853793025017
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.853179633617
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.853824436665
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.853793025017
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.891386891291
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.816199158743
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,0.94258164175
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.765004408283
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.86202951168
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.845556538353
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.940450251102
1,lt,up,0,0,2.4,30.0,50.0,0,1,0.98890420361
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.891121307913
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.950704106314
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.928290242381
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.942935705185
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.937445402145
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.95003426075
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.928880393505
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.940450429916
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.940450429916
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.940450429916
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.941873908043
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.94040954113
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.940450429916
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.954366627578
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.926533874627
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.986267690016
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.894632812189
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.943895581376
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.937004920829
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.960446894169
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.00783493696
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.897283172106
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.963332355022
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.918219252042
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.966843724251
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.952956080437
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.973697662354
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.949068367481
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.960446894169
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.960446894169
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.960446894169
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.960159242153
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.960313856602
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.960446894169
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.966031604463
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.954862183874
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.00414405082
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.916749737517
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.968613085625
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.952280702713
1,lt,central,0,0,2.4,70.0,100.0,0,1,0.985517919064
1,lt,up,0,0,2.4,70.0,100.0,0,1,1.01926716958
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.951274512872
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.988636672497
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.982514915646
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.994217157364
1,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.974603652954
1,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.994657874107
1,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.976904928684
1,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.985517919064
1,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.985517919064
1,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.985517919064
1,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.985054731369
1,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.985456883907
1,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.985517919064
1,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.989950005739
1,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.981085832388
1,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.01643808827
1,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.954597749862
1,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.992250219744
1,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.978785618383
1,lt,central,0,0,2.4,100.0,140.0,0,1,1.01046442986
1,lt,up,0,0,2.4,100.0,140.0,0,1,1.04092360941
1,lt,down,0,0,2.4,100.0,140.0,0,1,0.978437664596
1,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.01162564754
1,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.00697671151
