DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,0.712703406811
1,lt,up,0,0,2.4,20.0,30.0,0,1,0.87244672428
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.552991742918
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.731912860444
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.705226123333
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.713865816593
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.711266577244
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.732836663723
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.686103522778
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.712703287601
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.712703287601
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.712703287601
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.712452352047
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.712729096413
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.712703287601
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.744084872557
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.681321941065
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,0.863954219072
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.561452594549
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.721962949747
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.703443863875
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.854581475258
1,lt,up,0,0,2.4,30.0,50.0,0,1,0.898599641101
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.809685856348
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.865127073476
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.842188346156
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.85706371069
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.851600825787
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.864432692528
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.843005895615
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.854581475258
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.854581475258
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.854581475258
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.856590151787
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.854535579681
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.854581475258
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.86722720269
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.841935747826
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.879219184422
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.829943766094
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.858812159193
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.850350791323
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.906355798244
1,lt,up,0,0,2.4,50.0,70.0,0,1,0.957879125502
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.839216584575
