DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,1.01516795158
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.08512012421
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.945014931405
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.04014513182
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.00659179688
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.01646280289
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.0135242939
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.04198932648
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.979165077209
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.01516795158
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.01516795158
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.01516795158
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.0143904686
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.01520502567
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.01516795158
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.06197698196
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.96835892121
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.04377831854
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.986557584631
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.02453818718
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.00579771599
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.98353689909
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.03584924687
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.93036656167
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.993597729336
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.971519058824
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.985919058323
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.980629146099
