DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.04563701153
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.1101463371
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.981286987576
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.07336365456
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.03516018391
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.04700601101
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.04395389557
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.07427728176
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.00746548176
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.04563701153
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.04563701153
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.04563701153
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.0447883606
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.04570198059
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.04563701153
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.08878439421
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.00248962884
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.06163352739
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,1.02964049567
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.0639506561
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.02732336696
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.02087676525
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.04639165774
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.99313143956
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.03238061481
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.00744385633
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.02327764034
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01795244217
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.0328207016
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00624608994
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.02087843418
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.02087843418
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.02087843418
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.02274751663
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.02083110809
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.02087843418
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.0352529984
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.0065005321
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.0312335522
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,1.01051997831
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.02861915168
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.01313437882
1,lt,central,0,0,2.4,50.0,70.0,0,1,1.01745402813
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.05013709674
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.959481342928
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.02047908306
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.969176701551
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.02432096004
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.00926232338
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.03219616413
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.00447130203
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.01745426655
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.01745426655
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.01745426655
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.01775074005
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.01731944084
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.01745426655
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.02303663934
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.01187141692
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.04107094569
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.993837110571
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.03008086865
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.00482718761
1,lt,central,0,0,2.4,70.0,100.0,0,1,0.997763752937
1,lt,up,0,0,2.4,70.0,100.0,0,1,1.02273726067
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.972518082188
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,1.00182116032
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.994926058973
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.00676453114
1,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.986440479755
1,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.00740587711
1,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.989553928375
1,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.997763872147
1,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.997763872147
1,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.997763872147
1,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.997101306915
1,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.997687280178
1,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.997763872147
1,lt,up_cb,0,0,2.4,70.0,100.0,0,1,1.00197895378
1,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.99354855209
1,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.01331208876
1,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.982215417116
1,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.01072870619
1,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.984798799686
1,lt,central,0,0,2.4,100.0,140.0,0,1,1.01369690895
1,lt,up,0,0,2.4,100.0,140.0,0,1,1.04307875273
1,lt,down,0,0,2.4,100.0,140.0,0,1,0.982523890077
1,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.01398396492
1,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.00912761646
1,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.02697730064
1,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.996524453163
1,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.02044284344
1,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.01036834717
1,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.01369655132
1,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.01369655132
1,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.01369655132
1,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,1.01181411743
1,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.01353168488
1,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.01369655132
1,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.01804195693
1,lt,down_cb,0,0,2.4,100.0,140.0,0,1,1.00935186097
1,lt,up_add,0,0,2.4,100.0,140.0,0,1,1.03363415481
1,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.993759663088
1,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.02859217657
1,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,0.998801641337
1,lt,central,0,0,2.4,140.0,200.0,0,1,1.00213098526
1,lt,up,0,0,2.4,140.0,200.0,0,1,1.03099002349
1,lt,down,0,0,2.4,140.0,200.0,0,1,0.969388615175
1,lt,up_jes,0,0,2.4,140.0,200.0,0,1,1.00295221806
1,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.998518953903
1,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.01902830601
1,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.979550719261
1,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.00493180752
1,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.00079905987
1,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.00213098526
1,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.00213098526
1,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,1.00213098526
1,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.999207675457
1,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,1.00198185444
1,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,1.00213098526
1,lt,up_cb,0,0,2.4,140.0,200.0,0,1,1.00633732054
1,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.997924649977
1,lt,up_add,0,0,2.4,140.0,200.0,0,1,1.02219224669
1,lt,down_add,0,0,2.4,140.0,200.0,0,1,0.982069723834
1,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,1.01618261367
1,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.98807935685
1,lt,central,0,0,2.4,200.0,300.0,0,1,1.01401174068
1,lt,up,0,0,2.4,200.0,300.0,0,1,1.0535143199
1,lt,down,0,0,2.4,200.0,300.0,0,1,0.968358427203
1,lt,up_jes,0,0,2.4,200.0,300.0,0,1,1.01497614329
1,lt,down_jes,0,0,2.4,200.0,300.0,0,1,1.01110249382
1,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.03554785252
1,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.983900129795
1,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.00179064274
1,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.02383029461
1,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.01401019096
1,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.01401019096
1,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,1.01401019096
1,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,1.0094987154
1,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,1.01389348507
1,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,1.01401019096
1,lt,up_cb,0,0,2.4,200.0,300.0,0,1,1.01688586179
1,lt,down_cb,0,0,2.4,200.0,300.0,0,1,1.01113761958
1,lt,up_add,0,0,2.4,200.0,300.0,0,1,1.03750326667
1,lt,down_add,0,0,2.4,200.0,300.0,0,1,0.990520214695
1,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,1.02474806229
1,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,1.00327541908
1,lt,central,0,0,2.4,300.0,670.0,0,1,0.991906166077
1,lt,up,0,0,2.4,300.0,670.0,0,1,1.03648485999
1,lt,down,0,0,2.4,300.0,670.0,0,1,0.938036155457
1,lt,up_jes,0,0,2.4,300.0,670.0,0,1,0.992280179604
1,lt,down_jes,0,0,2.4,300.0,670.0,0,1,0.98974994971
1,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.01739943027
1,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.955239415169
1,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,0.969534337521
1,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.00922477245
1,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,0.991906404495
1,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,0.991906404495
1,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,0.991906404495
1,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,0.988024055958
1,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,0.991735160351
1,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,0.991906404495
1,lt,up_cb,0,0,2.4,300.0,670.0,0,1,0.993833627465
1,lt,down_cb,0,0,2.4,300.0,670.0,0,1,0.989978704688
1,lt,up_add,0,0,2.4,300.0,670.0,0,1,1.01466531284
1,lt,down_add,0,0,2.4,300.0,670.0,0,1,0.969147019317
1,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,1.00595088281
1,lt,down_statistic,0,0,2.4,300.0,670.0,0,1,0.977861449347
1,lt,central,0,0,2.4,670.0,1000.0,0,1,0.984920740128
1,lt,up,0,0,2.4,670.0,1000.0,0,1,1.06593422228
1,lt,down,0,0,2.4,670.0,1000.0,0,1,0.898742801096
1,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,0.9857198596
1,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,0.978692304266
1,lt,up_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,1.00778663158
1,lt,down_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,0.949773609638
1,lt,up_bfragmentation,0,0,2.4,670.0,1000.0,0,1,0.954795956612
1,lt,down_bfragmentation,0,0,2.4,670.0,1000.0,0,1,1.01363360882
1,lt,up_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.98492372036
1,lt,down_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.98492372036
1,lt,up_dmux,0,0,2.4,670.0,1000.0,0,1,0.98492372036
1,lt,down_dmux,0,0,2.4,670.0,1000.0,0,1,0.979466617107
1,lt,up_ksl,0,0,2.4,670.0,1000.0,0,1,0.984849333763
1,lt,down_ksl,0,0,2.4,670.0,1000.0,0,1,0.98492372036
1,lt,up_cb,0,0,2.4,670.0,1000.0,0,1,0.985821328576
1,lt,down_cb,0,0,2.4,670.0,1000.0,0,1,0.984020151679
1,lt,up_add,0,0,2.4,670.0,1000.0,0,1,1.02907754848
1,lt,down_add,0,0,2.4,670.0,1000.0,0,1,0.940763931778
1,lt,up_statistic,0,0,2.4,670.0,1000.0,0,1,1.04206015942
1,lt,down_statistic,0,0,2.4,670.0,1000.0,0,1,0.927781320837
