DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.11732395672
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.949492372749
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.05899072093
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.02410721779
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03467690945
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03189444542
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.0602902174
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.997470974922
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.03234493732
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.03348517418
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.07607203582
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.99078482529
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.08253587544
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.984320985679
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.04363495453
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.02322190659
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.04274393536
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.973389686929
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.01974556635
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.99586750777
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01140701771
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00568699837
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.01869273186
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.996466219425
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.01038849354
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.0087646246
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.02301804242
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.994605382107
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.01574030961
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,1.00188311492
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.0125864282
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.00503699633
1,lt,central,0,0,2.4,50.0,70.0,0,1,1.01447427273
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.05791970566
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.95162688273
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.01736152172
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.968685951068
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.02159655094
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.00602507591
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.02886962891
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.0018004179
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.01447451115
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.01447451115
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.01447451115
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.01463615894
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.01433861256
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.01447451115
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.02004053449
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.00890801097
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.05333302575
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.97561551971
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.02285834327
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.00609020219
1,lt,central,0,0,2.4,70.0,100.0,0,1,0.996524631977
1,lt,up,0,0,2.4,70.0,100.0,0,1,1.02168987091
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.970979298321
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.999950349331
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.994484500484
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.00542974472
1,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.985372424126
1,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.00609993935
1,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.98797172308
1,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.996524751186
1,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.996524751186
1,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.996524751186
1,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.995971262455
1,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.996450066566
1,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.996524751186
1,lt,up_cb,0,0,2.4,70.0,100.0,0,1,1.00073459797
1,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.99231466598
1,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.01556884066
1,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.977480423292
1,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.00336394813
1,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.989685315822
1,lt,central,0,0,2.4,100.0,140.0,0,1,1.01219141483
1,lt,up,0,0,2.4,100.0,140.0,0,1,1.03587344318
1,lt,down,0,0,2.4,100.0,140.0,0,1,0.986613533412
1,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.013022542
1,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.0088203013
1,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.02525317669
1,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.995407640934
1,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.0196262598
1,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.0074300766
1,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.01219189167
1,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.01219189167
1,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.01219189167
1,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,1.01013946533
1,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.01202845573
1,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.01219189167
1,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.01653000976
1,lt,down_cb,0,0,2.4,100.0,140.0,0,1,1.00785281991
1,lt,up_add,0,0,2.4,100.0,140.0,0,1,1.02814804331
1,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.996234786359
1,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.01803943619
1,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,1.00634339348
1,lt,central,0,0,2.4,140.0,200.0,0,1,1.00128352642
1,lt,up,0,0,2.4,140.0,200.0,0,1,1.02339199408
1,lt,down,0,0,2.4,140.0,200.0,0,1,0.974907832048
1,lt,up_jes,0,0,2.4,140.0,200.0,0,1,1.00204491619
1,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.99804213709
1,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.01741111279
1,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.979770302773
1,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.00605726242
1,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.998566806316
1,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.00128340721
1,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.00128340721
1,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,1.00128340721
1,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.998180150986
1,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,1.00113081932
1,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,1.00128340721
1,lt,up_cb,0,0,2.4,140.0,200.0,0,1,1.00548630459
1,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.997080748254
1,lt,up_add,0,0,2.4,140.0,200.0,0,1,1.01991206905
1,lt,down_add,0,0,2.4,140.0,200.0,0,1,0.982654983793
1,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,1.00817334845
1,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.994393704389
1,lt,central,0,0,2.4,200.0,300.0,0,1,1.02279293537
1,lt,up,0,0,2.4,200.0,300.0,0,1,1.05501308782
1,lt,down,0,0,2.4,200.0,300.0,0,1,0.984629817671
1,lt,up_jes,0,0,2.4,200.0,300.0,0,1,1.02404467077
1,lt,down_jes,0,0,2.4,200.0,300.0,0,1,1.01988397779
1,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.0443212986
1,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.993292331696
1,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.01911365986
1,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.02720594406
1,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.02279317379
1,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.02279317379
1,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,1.02279317379
1,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,1.01955628395
1,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,1.02260160446
1,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,1.02279317379
1,lt,up_cb,0,0,2.4,200.0,300.0,0,1,1.02569194595
1,lt,down_cb,0,0,2.4,200.0,300.0,0,1,1.0198939248
