DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.03802931309
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.10995740113
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.966057819364
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.06345274106
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.02927732468
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03915917873
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03663015366
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.06458806992
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.00225865841
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03803038597
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03803038597
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.03803038597
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.03695726395
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.0380846262
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.03803038597
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.08086277013
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.995195856048
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.07904660051
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.997012025668
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.04791085571
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.02814777047
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.02946436405
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.0618786756
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.99548314225
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.0399537623
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.01697265919
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.03189790249
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.02650916576
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.03930556774
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.01706647873
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.02946436405
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.02946436405
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.02946436405
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.03074908257
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.02942228317
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.02946436405
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.04396152984
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.01496719826
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.05033271615
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,1.00859601196
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.03339882505
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.02552990306
1,lt,central,0,0,2.4,50.0,70.0,0,1,1.03223562241
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.07301686792
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.971593228292
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.03486835957
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.986987442918
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.03893351555
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.02427256107
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.04652202129
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.01960802078
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.03223574162
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.03223574162
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.03223574162
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.03217935562
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.03210651875
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.03223574162
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.03789933791
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.0265719069
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.06920586047
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.995265384339
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.04096983593
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.02350140888
1,lt,central,0,0,2.4,70.0,100.0,0,1,1.01804423332
1,lt,up,0,0,2.4,70.0,100.0,0,1,1.04310620424
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.992653480106
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,1.02133369446
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,1.01608223653
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.02649748325
1,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.00742483139
1,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.02788972855
1,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.00916790962
1,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.01804423332
1,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.01804423332
1,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,1.01804423332
1,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,1.01742470264
1,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,1.01796901226
1,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,1.01804423332
1,lt,up_cb,0,0,2.4,70.0,100.0,0,1,1.02234511206
1,lt,down_cb,0,0,2.4,70.0,100.0,0,1,1.01374335458
1,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.03735530767
1,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.998733158977
1,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.02549597966
1,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,1.01059248698
1,lt,central,0,0,2.4,100.0,140.0,0,1,1.03539335728
1,lt,up,0,0,2.4,100.0,140.0,0,1,1.05864331253
1,lt,down,0,0,2.4,100.0,140.0,0,1,1.01043512599
1,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.03603887558
1,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.03210301655
1,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.04796671867
1,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.01920759678
1,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.04339659214
1,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.03010416031
1,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.03539335728
1,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.03539335728
1,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.03539335728
1,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,1.03336775303
1,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.03522932529
1,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.03539335728
1,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.03983140358
1,lt,down_cb,0,0,2.4,100.0,140.0,0,1,1.03095531098
1,lt,up_add,0,0,2.4,100.0,140.0,0,1,1.05140118414
1,lt,down_add,0,0,2.4,100.0,140.0,0,1,1.01938553042
1,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.04175234214
1,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,1.02903437241
1,lt,central,0,0,2.4,140.0,200.0,0,1,1.02701592445
1,lt,up,0,0,2.4,140.0,200.0,0,1,1.05240665011
1,lt,down,0,0,2.4,140.0,200.0,0,1,0.998078024053
1,lt,up_jes,0,0,2.4,140.0,200.0,0,1,1.02796599429
1,lt,down_jes,0,0,2.4,140.0,200.0,0,1,1.02394359239
1,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.04290986061
1,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.00582802296
1,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.03274488449
1,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.02365064621
1,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.02701616287
1,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.02701616287
1,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,1.02701616287
1,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,1.02396035194
1,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,1.0268548727
1,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,1.02701616287
1,lt,up_cb,0,0,2.4,140.0,200.0,0,1,1.03132671155
1,lt,down_cb,0,0,2.4,140.0,200.0,0,1,1.02270513736
1,lt,up_add,0,0,2.4,140.0,200.0,0,1,1.04267370012
1,lt,down_add,0,0,2.4,140.0,200.0,0,1,1.01135814879
1,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,1.03505907128
1,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,1.01897277763
1,lt,central,0,0,2.4,200.0,300.0,0,1,1.03142046928
1,lt,up,0,0,2.4,200.0,300.0,0,1,1.0612087034
1,lt,down,0,0,2.4,200.0,300.0,0,1,0.995540404221
1,lt,up_jes,0,0,2.4,200.0,300.0,0,1,1.03269309081
1,lt,down_jes,0,0,2.4,200.0,300.0,0,1,1.02841603559
1,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.05230903625
1,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.00272393227
1,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.02763736248
1,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.03592669964
1,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.03142046928
1,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.03142046928
1,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,1.03142046928
1,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,1.02803850174
1,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,1.03124547005
1,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,1.03142046928
1,lt,up_cb,0,0,2.4,200.0,300.0,0,1,1.03434393379
1,lt,down_cb,0,0,2.4,200.0,300.0,0,1,1.02849700477
1,lt,up_add,0,0,2.4,200.0,300.0,0,1,1.04540259808
1,lt,down_add,0,0,2.4,200.0,300.0,0,1,1.01743834049
1,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,1.03772715384
1,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,1.02511378473
1,lt,central,0,0,2.4,300.0,670.0,0,1,1.03556525707
1,lt,up,0,0,2.4,300.0,670.0,0,1,1.07888909485
1,lt,down,0,0,2.4,300.0,670.0,0,1,0.983509416993
1,lt,up_jes,0,0,2.4,300.0,670.0,0,1,1.0363960405
1,lt,down_jes,0,0,2.4,300.0,670.0,0,1,1.03316589298
1,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.06202816963
1,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.997781515121
1,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.01777422428
1,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.05062222481
1,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.03556525707
1,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.03556525707
1,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,1.03556525707
1,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,1.03230786324
1,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,1.03535497189
1,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,1.03556525707
1,lt,up_cb,0,0,2.4,300.0,670.0,0,1,1.03757755634
1,lt,down_cb,0,0,2.4,300.0,670.0,0,1,1.03355295781
1,lt,up_add,0,0,2.4,300.0,670.0,0,1,1.04372073139
1,lt,down_add,0,0,2.4,300.0,670.0,0,1,1.02740978275
1,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,1.04581100038
1,lt,down_statistic,0,0,2.4,300.0,670.0,0,1,1.02531951376
1,lt,central,0,0,2.4,670.0,1000.0,0,1,1.00385200977
1,lt,up,0,0,2.4,670.0,1000.0,0,1,1.06306824982
1,lt,down,0,0,2.4,670.0,1000.0,0,1,0.937119684742
1,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,1.00438022614
1,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,0.996036954804
1,lt,up_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,1.02784943581
1,lt,down_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,0.967107474804
1,lt,up_bfragmentation,0,0,2.4,670.0,1000.0,0,1,0.973744809628
1,lt,down_bfragmentation,0,0,2.4,670.0,1000.0,0,1,1.03255045414
1,lt,up_cfragmentation,0,0,2.4,670.0,1000.0,0,1,1.00385415554
