DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.01460874081
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.12218835656
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.907240122616
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.04197529819
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.00373101234
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.01613724232
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.01274931431
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.04266047478
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.977589607239
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.01460874081
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.01460874081
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.01460874081
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.01382434368
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.01466321945
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.01460874081
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.05647576649
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.972741715123
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.09097340485
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.93824407676
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.0280590171
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.00115846452
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.969686806202
1,lt,up,0,0,2.4,30.0,50.0,0,1,0.993503625531
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.943748414311
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.981698175054
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.955612092636
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.972472965717
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.966354966164
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.98056691885
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.956573784351
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.969686865807
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.969686865807
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.969686865807
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.971963107586
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.969629406929
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.969686865807
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.983342169984
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.956031442419
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.980551539492
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.958822072912
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.974568011339
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.964805601065
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.9758284688
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.0162964044
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.913185964065
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.979114234447
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.927607941559
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.983487188816
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.966739356518
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.990597188473
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.962926506996
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.975827991962
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.975827991962
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.975827991962
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.976388812065
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.975690364838
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.975827991962
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.981182687073
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.970474250526
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.01061223977
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.941044697831
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.986198149351
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.965458788248
1,lt,central,0,0,2.4,70.0,100.0,0,1,0.958547174931
1,lt,up,0,0,2.4,70.0,100.0,0,1,0.984358309144
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.932367636572
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.962636649609
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.955780607524
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.968244373798
