DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.965923786163
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.03003911635
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.901946674119
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.991538006075
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.956246435642
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.967189371586
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.964369773865
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.992381572723
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.930662989616
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.965924501419
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.965924501419
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.965924501419
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.965140461922
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.965984582901
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.965924501419
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.00762305956
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.924224512767
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,0.990740726684
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.941106845642
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.98242776143
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.949419810896
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.997420549393
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.04277298802
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.950832765006
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.00865829347
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.984294778471
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.999764680862
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.994561910629
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00908839703
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.983124613762
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.997420728207
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.997420728207
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.997420728207
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.999246776104
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.997374415398
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.997420728207
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.01209134515
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.982749753631
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.03784842244
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.956992676342
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.00491500933
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.989926089456
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.967340052128
2,lt,up,0,0,2.4,50.0,70.0,0,1,1.01259447789
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.903152726559
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.970217525959
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.92144271282
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.973870158195
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.959553301334
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.981357395649
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.954998135567
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.967341780663
2,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.967341780663
2,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.967341780663
2,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.967623531818
2,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.967213571072
2,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.967341780663
2,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.972817440002
2,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.961862664253
2,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.00793486594
2,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.92674523832
2,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.978834823955
2,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.9558452803
2,lt,central,0,0,2.4,70.0,100.0,0,1,0.978407144547
2,lt,up,0,0,2.4,70.0,100.0,0,1,1.03293542394
2,lt,down,0,0,2.4,70.0,100.0,0,1,0.923758451201
2,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.982385754585
2,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.975624577559
2,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.987233221531
2,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.967303454876
2,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.987862169743
2,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.9703566432
2,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.978407144547
2,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.978407144547
2,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.978407144547
2,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.977757453918
2,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.978332102299
2,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.978407144547
2,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.982783224774
2,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.974031064319
2,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.02953774442
2,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.927276544672
2,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.990748823911
2,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.966065465182
2,lt,central,0,0,2.4,100.0,140.0,0,1,0.986029088497
2,lt,up,0,0,2.4,100.0,140.0,0,1,1.03137789859
2,lt,down,0,0,2.4,100.0,140.0,0,1,0.93956301568
2,lt,up_jes,0,0,2.4,100.0,140.0,0,1,0.98630875349
2,lt,down_jes,0,0,2.4,100.0,140.0,0,1,0.981585212732
2,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.998947381973
2,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.969325780869
2,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.992591381073
2,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.982791960239
2,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.986029207706
2,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.986029207706
2,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,0.986029207706
2,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,0.984198153019
2,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,0.985868752003
2,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,0.986029207706
2,lt,up_cb,0,0,2.4,100.0,140.0,0,1,0.990428144722
2,lt,down_cb,0,0,2.4,100.0,140.0,0,1,0.981630032272
2,lt,up_add,0,0,2.4,100.0,140.0,0,1,1.02647341447
2,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.945584762523
2,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,0.999704356939
2,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,0.972353820055
2,lt,central,0,0,2.4,140.0,200.0,0,1,0.985602676868
2,lt,up,0,0,2.4,140.0,200.0,0,1,1.03085353956
2,lt,down,0,0,2.4,140.0,200.0,0,1,0.937865730167
2,lt,up_jes,0,0,2.4,140.0,200.0,0,1,0.986412584782
2,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.982053070181
2,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.00222349167
2,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.963396847248
2,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.988359570503
2,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.984294950962
2,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.985604822636
2,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.985604822636
2,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,0.985604822636
2,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.98272973299
2,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,0.985458135605
2,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,0.985604822636
2,lt,up_cb,0,0,2.4,140.0,200.0,0,1,0.990142486026
2,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.981062867711
2,lt,up_add,0,0,2.4,140.0,200.0,0,1,1.02335885082
2,lt,down_add,0,0,2.4,140.0,200.0,0,1,0.947846502915
2,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,0.998825968473
2,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.972379385264
2,lt,central,0,0,2.4,200.0,300.0,0,1,0.974402010441
2,lt,up,0,0,2.4,200.0,300.0,0,1,1.02704643045
2,lt,down,0,0,2.4,200.0,300.0,0,1,0.917350565649
2,lt,up_jes,0,0,2.4,200.0,300.0,0,1,0.9753302362
2,lt,down_jes,0,0,2.4,200.0,300.0,0,1,0.971608149209
2,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.995098292828
2,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.945467889309
2,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.962659776211
2,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.983838498592
2,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.974402010441
2,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.974402010441
2,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,0.974402010441
2,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,0.970066606998
2,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,0.974289774895
2,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,0.974402010441
2,lt,up_cb,0,0,2.4,200.0,300.0,0,1,0.9776397362
2,lt,down_cb,0,0,2.4,200.0,300.0,0,1,0.971164284681
2,lt,up_add,0,0,2.4,200.0,300.0,0,1,1.00428787266
2,lt,down_add,0,0,2.4,200.0,300.0,0,1,0.944516148222
2,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,0.984792399863
2,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,0.964011621019
2,lt,central,0,0,2.4,300.0,670.0,0,1,0.90961009264
2,lt,up,0,0,2.4,300.0,670.0,0,1,0.951395689562
2,lt,down,0,0,2.4,300.0,670.0,0,1,0.859457765324
2,lt,up_jes,0,0,2.4,300.0,670.0,0,1,0.909953202246
2,lt,down_jes,0,0,2.4,300.0,670.0,0,1,0.907632914873
2,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.932988286018
2,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.875985503197
2,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,0.889094531536
2,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,0.92549186945
2,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,0.909610331059
2,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,0.909610331059
2,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,0.909610331059
2,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,0.906050145626
2,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,0.90945327282
2,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,0.909610331059
2,lt,up_cb,0,0,2.4,300.0,670.0,0,1,0.911745509059
2,lt,down_cb,0,0,2.4,300.0,670.0,0,1,0.907474676221
2,lt,up_add,0,0,2.4,300.0,670.0,0,1,0.928599531167
2,lt,down_add,0,0,2.4,300.0,670.0,0,1,0.890620654113
2,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,0.922012411669
