DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.992264568806
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.05858115197
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.9259073821
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.01656941134
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.983900010586
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.993345975876
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.990928471088
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.01765394211
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.95807236433
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.992267072201
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.992267072201
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.992267072201
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.99124121666
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.992318868637
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.992267072201
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.03510098316
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.949428154454
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.02516312272
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.95936601489
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.00158506986
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.982944067748
2,lt,central,0,0,2.4,30.0,50.0,0,1,1.01597797871
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.05815015364
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.972621206045
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.02632990138
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.00364999731
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01837968826
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01306176186
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.02569043636
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00374269485
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01597797871
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01597797871
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.01597797871
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.01724588871
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.01593649387
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.01597797871
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.0309217308
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.00103422661
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.04809337722
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.983862580195
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.01981736948
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.01213858793
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.995324909687
