DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.925808906555
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.01827640677
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.833545284285
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.950779747828
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.915882706642
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.92720323801
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.924111783504
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.95140504837
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.892029225826
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.925808668137
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.925808668137
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.925808668137
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.925092756748
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.925858139992
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.925808668137
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.965776406332
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.885841406779
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,0.996990797657
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.854627015453
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.937864168786
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.913753644324
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.921930611134
2,lt,up,0,0,2.4,30.0,50.0,0,1,0.97618694463
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.866801931769
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.933350328403
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.908549002654
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.924579501152
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.918762803078
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.93227493763
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.909463405609
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.921930611134
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.921930611134
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.921930611134
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.924094736576
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.921875953674
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.921930611134
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.935491045306
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.908370176961
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.971321071997
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.87254015027
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.926514567322
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.917346654945
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.905373334885
2,lt,up,0,0,2.4,50.0,70.0,0,1,0.971342606313
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.825874691756
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.908422291279
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.860635018729
