OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.904177+0.00105974*x+-1.76786e-06*x*x+9.44747e-10*x*x*x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.904177+0.00105974*x+-1.76786e-06*x*x+9.44747e-10*x*x*x)*(1-(0.0960272+0.000245612*x+-2.07526e-07*x*x))" 
0, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.904177+0.00105974*x+-1.76786e-06*x*x+9.44747e-10*x*x*x)*(1-(0.00606551+0.000453359*x+-3.84326e-07*x*x))" 
0, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.904177+0.00105974*x+-1.76786e-06*x*x+9.44747e-10*x*x*x)*(1-(0.104808))" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.904177+0.00105974*x+-1.76786e-06*x*x+9.44747e-10*x*x*x)*(1+(0.0960272+0.000245612*x+-2.07526e-07*x*x))" 
0, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.904177+0.00105974*x+-1.76786e-06*x*x+9.44747e-10*x*x*x)*(1+(0.00606551+0.000453359*x+-3.84326e-07*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.904177+0.00105974*x+-1.76786e-06*x*x+9.44747e-10*x*x*x)*(1+(0.104808))" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.704769+0.00122739*x+-1.13557e-06*x*x+2.46471e-11*x*x*x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.704769+0.00122739*x+-1.13557e-06*x*x+2.46471e-11*x*x*x)*(1-(0.245196+-0.00025504*x+4.51265e-07*x*x))" 
1, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.704769+0.00122739*x+-1.13557e-06*x*x+2.46471e-11*x*x*x)*(1-(0.111689+-0.000224361*x+4.60726e-07*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.704769+0.00122739*x+-1.13557e-06*x*x+2.46471e-11*x*x*x)*(1-(0.202908))" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.704769+0.00122739*x+-1.13557e-06*x*x+2.46471e-11*x*x*x)*(1+(0.245196+-0.00025504*x+4.51265e-07*x*x))" 
1, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.704769+0.00122739*x+-1.13557e-06*x*x+2.46471e-11*x*x*x)*(1+(0.111689+-0.000224361*x+4.60726e-07*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.704769+0.00122739*x+-1.13557e-06*x*x+2.46471e-11*x*x*x)*(1+(0.202908))" 
2, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.923908+-1.76154/sqrt(x)" 
2, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.923908+-1.76154/sqrt(x))*(1-(0.613763+-0.00119455*x+1.41689e-06*x*x))" 
2, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.923908+-1.76154/sqrt(x))*(1-(0.438277+-0.00109702*x+1.17666e-06*x*x))" 
2, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.923908+-1.76154/sqrt(x))*(1-(0.363738))" 
2, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.923908+-1.76154/sqrt(x))*(1+(0.613763+-0.00119455*x+1.41689e-06*x*x))" 
2, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.923908+-1.76154/sqrt(x))*(1+(0.438277+-0.00109702*x+1.17666e-06*x*x))" 
2, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.923908+-1.76154/sqrt(x))*(1+(0.363738))" 
