DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, lt, central, 0, -2.5, 2.5, 120, 180, 0, 1, "0.98766" 
0, lt, central, 0, -2.5, 2.5, 240, 450, 0, 1, "1.02497" 
0, lt, central, 0, -2.5, 2.5, 180, 240, 0, 1, "1.00575" 
0, lt, central, 0, -2.5, 2.5, 30, 120, 0, 1, "0.98182" 
0, lt, central, 1, -2.5, 2.5, 120, 180, 0, 1, "0.98766" 
0, lt, central, 1, -2.5, 2.5, 240, 450, 0, 1, "1.02497" 
0, lt, central, 1, -2.5, 2.5, 180, 240, 0, 1, "1.00575" 
0, lt, central, 1, -2.5, 2.5, 30, 120, 0, 1, "0.98182" 
0, lt, down, 0, -2.5, 2.5, 120, 180, 0, 1, "0.96785" 
0, lt, down, 0, -2.5, 2.5, 240, 450, 0, 1, "0.99913" 
0, lt, down, 0, -2.5, 2.5, 180, 240, 0, 1, "0.99149" 
0, lt, down, 0, -2.5, 2.5, 30, 120, 0, 1, "0.95829" 
0, lt, down, 1, -2.5, 2.5, 120, 180, 0, 1, "0.94805" 
0, lt, down, 1, -2.5, 2.5, 240, 450, 0, 1, "0.97329" 
0, lt, down, 1, -2.5, 2.5, 180, 240, 0, 1, "0.97722" 
0, lt, down, 1, -2.5, 2.5, 30, 120, 0, 1, "0.93475" 
0, lt, up, 0, -2.5, 2.5, 120, 180, 0, 1, "1.00747" 
0, lt, up, 0, -2.5, 2.5, 240, 450, 0, 1, "1.05081" 
0, lt, up, 0, -2.5, 2.5, 180, 240, 0, 1, "1.02001" 
0, lt, up, 0, -2.5, 2.5, 30, 120, 0, 1, "1.00536" 
0, lt, up, 1, -2.5, 2.5, 120, 180, 0, 1, "1.02728" 
0, lt, up, 1, -2.5, 2.5, 240, 450, 0, 1, "1.07665" 
0, lt, up, 1, -2.5, 2.5, 180, 240, 0, 1, "1.03427" 
0, lt, up, 1, -2.5, 2.5, 30, 120, 0, 1, "1.02889" 
1, lt, central, 0, -2.5, 2.5, 120, 180, 0, 1, "0.99218" 
1, lt, central, 0, -2.5, 2.5, 240, 450, 0, 1, "1.00667" 
1, lt, central, 0, -2.5, 2.5, 180, 240, 0, 1, "1.00736" 
1, lt, central, 0, -2.5, 2.5, 30, 120, 0, 1, "0.99704" 
1, lt, central, 1, -2.5, 2.5, 120, 180, 0, 1, "0.99218" 
1, lt, central, 1, -2.5, 2.5, 240, 450, 0, 1, "1.00667" 
1, lt, central, 1, -2.5, 2.5, 180, 240, 0, 1, "1.00736" 
1, lt, central, 1, -2.5, 2.5, 30, 120, 0, 1, "0.99704" 
1, lt, down, 0, -2.5, 2.5, 120, 180, 0, 1, "0.97037" 
1, lt, down, 0, -2.5, 2.5, 240, 450, 0, 1, "0.99229" 
1, lt, down, 0, -2.5, 2.5, 180, 240, 0, 1, "0.98781" 
1, lt, down, 0, -2.5, 2.5, 30, 120, 0, 1, "0.97924" 
1, lt, down, 1, -2.5, 2.5, 120, 180, 0, 1, "0.94856" 
1, lt, down, 1, -2.5, 2.5, 240, 450, 0, 1, "0.97791" 
1, lt, down, 1, -2.5, 2.5, 180, 240, 0, 1, "0.96826" 
1, lt, down, 1, -2.5, 2.5, 30, 120, 0, 1, "0.96144" 
1, lt, up, 0, -2.5, 2.5, 120, 180, 0, 1, "1.01399" 
1, lt, up, 0, -2.5, 2.5, 240, 450, 0, 1, "1.02105" 
1, lt, up, 0, -2.5, 2.5, 180, 240, 0, 1, "1.02691" 
1, lt, up, 0, -2.5, 2.5, 30, 120, 0, 1, "1.01484" 
1, lt, up, 1, -2.5, 2.5, 120, 180, 0, 1, "1.0358" 
1, lt, up, 1, -2.5, 2.5, 240, 450, 0, 1, "1.03543" 
1, lt, up, 1, -2.5, 2.5, 180, 240, 0, 1, "1.04646" 
1, lt, up, 1, -2.5, 2.5, 30, 120, 0, 1, "1.032.5" 
