DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, lt, central, 0, -2.5, 2.5, 240, 450, 0, 1, "0.99052" 
0, lt, central, 1, -2.5, 2.5, 240, 450, 0, 1, "0.99052" 
0, lt, central, 0, -2.5, 2.5, 180, 240, 0, 1, "0.98666" 
0, lt, central, 1, -2.5, 2.5, 180, 240, 0, 1, "0.98666" 
0, lt, central, 0, -2.5, 2.5, 120, 180, 0, 1, "0.97872" 
0, lt, central, 1, -2.5, 2.5, 120, 180, 0, 1, "0.97872" 
0, lt, central, 0, -2.5, 2.5, 30, 120, 0, 1, "0.99184" 
0, lt, central, 1, -2.5, 2.5, 30, 120, 0, 1, "0.99184" 
0, lt, down, 0, -2.5, 2.5, 240, 450, 0, 1, "0.97111" 
0, lt, down, 1, -2.5, 2.5, 240, 450, 0, 1, "0.97111" 
0, lt, down, 0, -2.5, 2.5, 180, 240, 0, 1, "0.96235" 
0, lt, down, 1, -2.5, 2.5, 180, 240, 0, 1, "0.96235" 
0, lt, down, 0, -2.5, 2.5, 120, 180, 0, 1, "0.95023" 
0, lt, down, 1, -2.5, 2.5, 120, 180, 0, 1, "0.95023" 
0, lt, down, 0, -2.5, 2.5, 30, 120, 0, 1, "0.97136" 
0, lt, down, 1, -2.5, 2.5, 30, 120, 0, 1, "0.97136" 
0, lt, up, 0, -2.5, 2.5, 240, 450, 0, 1, "1.01195" 
0, lt, up, 1, -2.5, 2.5, 240, 450, 0, 1, "1.01195" 
0, lt, up, 0, -2.5, 2.5, 180, 240, 0, 1, "1.01185" 
0, lt, up, 1, -2.5, 2.5, 180, 240, 0, 1, "1.01185" 
0, lt, up, 0, -2.5, 2.5, 120, 180, 0, 1, "1.00719" 
0, lt, up, 1, -2.5, 2.5, 120, 180, 0, 1, "1.00719" 
0, lt, up, 0, -2.5, 2.5, 30, 120, 0, 1, "1.01352" 
0, lt, up, 1, -2.5, 2.5, 30, 120, 0, 1, "1.01352" 
1, lt, central, 0, -2.5, 2.5, 240, 450, 0, 1, "0.99001" 
1, lt, central, 1, -2.5, 2.5, 240, 450, 0, 1, "0.99001" 
1, lt, central, 0, -2.5, 2.5, 180, 240, 0, 1, "0.96322" 
1, lt, central, 1, -2.5, 2.5, 180, 240, 0, 1, "0.96322" 
1, lt, central, 0, -2.5, 2.5, 120, 180, 0, 1, "0.95978" 
1, lt, central, 1, -2.5, 2.5, 120, 180, 0, 1, "0.95978" 
1, lt, central, 0, -2.5, 2.5, 30, 120, 0, 1, "0.96379" 
1, lt, central, 1, -2.5, 2.5, 30, 120, 0, 1, "0.96379" 
1, lt, down, 0, -2.5, 2.5, 240, 450, 0, 1, "0.97054" 
1, lt, down, 1, -2.5, 2.5, 240, 450, 0, 1, "0.97054" 
1, lt, down, 0, -2.5, 2.5, 180, 240, 0, 1, "0.91681" 
1, lt, down, 1, -2.5, 2.5, 180, 240, 0, 1, "0.91681" 
1, lt, down, 0, -2.5, 2.5, 120, 180, 0, 1, "0.91359" 
1, lt, down, 1, -2.5, 2.5, 120, 180, 0, 1, "0.91359" 
1, lt, down, 0, -2.5, 2.5, 30, 120, 0, 1, "0.92087" 
1, lt, down, 1, -2.5, 2.5, 30, 120, 0, 1, "0.92087" 
1, lt, up, 0, -2.5, 2.5, 240, 450, 0, 1, "1.00872" 
1, lt, up, 1, -2.5, 2.5, 240, 450, 0, 1, "1.00872" 
1, lt, up, 0, -2.5, 2.5, 180, 240, 0, 1, "1.01146" 
1, lt, up, 1, -2.5, 2.5, 180, 240, 0, 1, "1.01146" 
1, lt, up, 0, -2.5, 2.5, 120, 180, 0, 1, "1.00595" 
1, lt, up, 1, -2.5, 2.5, 120, 180, 0, 1, "1.00595" 
1, lt, up, 0, -2.5, 2.5, 30, 120, 0, 1, "1.00692" 
1, lt, up, 1, -2.5, 2.5, 30, 120, 0, 1, "1.00692" 
