DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, lt, central, 0, -2.5, 2.5, 240, 450, 0, 1, "1.01462" 
0, lt, central, 1, -2.5, 2.5, 240, 450, 0, 1, "1.01462" 
0, lt, central, 0, -2.5, 2.5, 180, 240, 0, 1, "1.01745" 
0, lt, central, 1, -2.5, 2.5, 180, 240, 0, 1, "1.01745" 
0, lt, central, 0, -2.5, 2.5, 120, 180, 0, 1, "0.9983" 
0, lt, central, 1, -2.5, 2.5, 120, 180, 0, 1, "0.9983" 
0, lt, central, 0, -2.5, 2.5, 30, 120, 0, 1, "0.99951" 
0, lt, central, 1, -2.5, 2.5, 30, 120, 0, 1, "0.99951" 
0, lt, down, 0, -2.5, 2.5, 240, 450, 0, 1, "0.99493" 
0, lt, down, 1, -2.5, 2.5, 240, 450, 0, 1, "0.99493" 
0, lt, down, 0, -2.5, 2.5, 180, 240, 0, 1, "0.99475" 
0, lt, down, 1, -2.5, 2.5, 180, 240, 0, 1, "0.99475" 
0, lt, down, 0, -2.5, 2.5, 120, 180, 0, 1, "0.98406" 
0, lt, down, 1, -2.5, 2.5, 120, 180, 0, 1, "0.98406" 
0, lt, down, 0, -2.5, 2.5, 30, 120, 0, 1, "0.9847" 
0, lt, down, 1, -2.5, 2.5, 30, 120, 0, 1, "0.9847" 
0, lt, up, 0, -2.5, 2.5, 240, 450, 0, 1, "1.03529" 
0, lt, up, 1, -2.5, 2.5, 240, 450, 0, 1, "1.03529" 
0, lt, up, 0, -2.5, 2.5, 180, 240, 0, 1, "1.04101" 
0, lt, up, 1, -2.5, 2.5, 180, 240, 0, 1, "1.04101" 
0, lt, up, 0, -2.5, 2.5, 120, 180, 0, 1, "1.01251" 
0, lt, up, 1, -2.5, 2.5, 120, 180, 0, 1, "1.01251" 
0, lt, up, 0, -2.5, 2.5, 30, 120, 0, 1, "1.01653" 
0, lt, up, 1, -2.5, 2.5, 30, 120, 0, 1, "1.01653" 
1, lt, central, 0, -2.5, 2.5, 240, 450, 0, 1, "1.04292" 
1, lt, central, 1, -2.5, 2.5, 240, 450, 0, 1, "1.04292" 
1, lt, central, 0, -2.5, 2.5, 180, 240, 0, 1, "1.0269" 
1, lt, central, 1, -2.5, 2.5, 180, 240, 0, 1, "1.0269" 
1, lt, central, 0, -2.5, 2.5, 120, 180, 0, 1, "0.99992" 
1, lt, central, 1, -2.5, 2.5, 120, 180, 0, 1, "0.99992" 
1, lt, central, 0, -2.5, 2.5, 30, 120, 0, 1, "0.99105" 
1, lt, central, 1, -2.5, 2.5, 30, 120, 0, 1, "0.99105" 
1, lt, down, 0, -2.5, 2.5, 240, 450, 0, 1, "0.99925" 
1, lt, down, 1, -2.5, 2.5, 240, 450, 0, 1, "0.99925" 
1, lt, down, 0, -2.5, 2.5, 180, 240, 0, 1, "0.99474" 
1, lt, down, 1, -2.5, 2.5, 180, 240, 0, 1, "0.99474" 
1, lt, down, 0, -2.5, 2.5, 120, 180, 0, 1, "0.98335" 
1, lt, down, 1, -2.5, 2.5, 120, 180, 0, 1, "0.98335" 
1, lt, down, 0, -2.5, 2.5, 30, 120, 0, 1, "0.97254" 
1, lt, down, 1, -2.5, 2.5, 30, 120, 0, 1, "0.97254" 
1, lt, up, 0, -2.5, 2.5, 240, 450, 0, 1, "1.08717" 
1, lt, up, 1, -2.5, 2.5, 240, 450, 0, 1, "1.08717" 
1, lt, up, 0, -2.5, 2.5, 180, 240, 0, 1, "1.06033" 
1, lt, up, 1, -2.5, 2.5, 180, 240, 0, 1, "1.06033" 
1, lt, up, 0, -2.5, 2.5, 120, 180, 0, 1, "1.01701" 
1, lt, up, 1, -2.5, 2.5, 120, 180, 0, 1, "1.01701" 
1, lt, up, 0, -2.5, 2.5, 30, 120, 0, 1, "1.01043" 
1, lt, up, 1, -2.5, 2.5, 30, 120, 0, 1, "1.01043" 
